V1	hmm_hmm1	hmm_hmm10	hmm_hmm11	hmm_hmm12	hmm_hmm13	hmm_hmm15	hmm_hmm16	hmm_hmm17	hmm_hmm18	hmm_hmm19	hmm_hmm2	hmm_hmm20	hmm_hmm21	hmm_hmm22	hmm_hmm23	hmm_hmm24	hmm_hmm25	hmm_hmm26	hmm_hmm27	hmm_hmm28	hmm_hmm29	hmm_hmm3	hmm_hmm30	hmm_hmm31	hmm_hmm4	hmm_hmm5	hmm_hmm6	hmm_hmm7	hmm_hmm8	hmm_hmm9	type
AAI19794.1	121.1	213.9	486.7	250.7	325.6	112.9	119.6	231.7	239.7	24.3	495.4	672.6	147.5	114.7	688.9	427.1	241.6	188.4	166.8	176.5	90.6	233.9	184.6	142.6	284.8	403.2	367.1	283.1	283.1	531.1	FASII
AAN71524.1	110.5	236.7	470.8	242.3	339.4	123.0	90.4	214.9	243.5	21.0	486.8	648.3	150.7	108.9	625.3	402.0	260.6	173.2	155.5	164.3	80.4	232.4	177.2	124.4	281.0	376.0	352.0	294.3	300.8	493.1	FASII
AEO32323.1	119.2	206.7	470.5	229.7	317.9	85.4	103.8	202.8	228.2	5.3	475.9	583.6	140.4	97.4	581.8	374.5	233.6	174.3	150.7	148.0	92.4	187.2	166.7	116.0	262.1	375.7	344.0	266.5	302.6	487.6	FASII
AEO33703.1	114.1	175.5	415.7	196.8	279.1	72.3	83.6	157.9	207.0	5.5	428.2	510.6	118.8	81.7	527.6	332.3	208.1	156.4	133.0	124.4	73.9	158.7	139.9	100.2	231.0	328.7	295.7	241.9	248.3	427.9	FASII
ALC47523.1	111.5	239.4	486.9	243.1	327.6	99.8	81.1	217.5	250.8	13.3	506.8	652.3	146.5	107.5	634.2	412.6	277.0	180.4	160.3	159.6	83.5	235.9	171.2	120.8	284.8	388.5	358.0	288.6	301.9	504.3	FASII
alderia2_NODE_5201_nrpspksdomains_ctg2505_1_PKS_KS.1_	263.4	65.8	91.3	71.8	53.8	351.7	88.0	277.3	290.0	488.5	110.0	159.4	346.2	530.5	122.2	109.2	121.8	158.2	157.8	300.4	415.1	90.9	191.1	245.4	61.3	81.4	83.7	76.1	61.2	105.0	AFLP
alderia2_NODE_554_nrpspksdomains_ctg2491_1_PKS_KS.1_	257.9	65.2	91.5	72.1	50.6	349.7	84.0	273.8	287.5	482.6	106.7	153.6	347.2	531.3	119.2	105.0	116.7	157.5	154.5	298.7	417.4	91.1	188.9	245.2	61.8	79.4	82.6	74.7	62.0	103.0	AFLP
alderia2_NODE_902_nrpspksdomains_ctg2493_2_PKS_KS.1_	303.1	85.1	113.1	64.5	78.4	425.6	95.3	285.7	349.1	517.6	110.3	191.4	371.1	523.8	139.4	121.7	118.8	187.6	188.2	331.0	426.0	103.2	223.5	277.5	75.8	78.6	98.7	73.2	72.7	120.0	AFLP
archae_MBY9000496.1:715-1146	221.1	142.7	169.9	132.9	109.9	375.0	368.3	310.7	357.3	134.2	234.8	295.7	257.9	174.9	231.5	204.3	191.3	205.8	170.2	270.3	151.8	132.3	773.2	218.8	126.9	120.3	151.1	124.6	113.5	183.6	archea_PKS
archae_MCE7739922.1:714-1173	247.4	140.6	182.2	134.2	115.1	429.7	393.0	335.0	370.2	172.2	237.7	252.9	288.5	192.5	241.1	216.3	199.5	167.7	198.0	295.7	157.9	143.9	830.8	254.9	126.0	139.8	174.4	129.7	123.0	201.2	archea_PKS
archae_MCE7741284.1:714-1173	248.1	143.5	187.2	151.0	131.7	345.0	397.4	339.3	372.7	164.3	245.4	252.4	285.0	192.7	245.8	215.7	189.7	185.0	186.8	301.0	161.6	143.7	809.7	251.5	140.0	134.1	160.3	140.0	115.0	196.9	archea_PKS
archae_MCE7744210.1:732-1192	239.0	133.0	175.5	133.5	128.7	379.7	422.3	336.1	375.0	175.7	236.2	244.2	283.4	189.3	251.1	193.8	197.9	182.6	183.4	306.2	137.9	132.4	754.1	248.7	115.1	136.7	145.7	108.1	114.0	187.3	archea_PKS
archae_MCE7749844.1:714-1173	263.9	145.8	179.8	138.8	111.6	429.5	402.5	336.7	373.9	191.9	234.0	257.4	294.1	200.2	244.1	222.3	203.0	201.9	202.7	298.1	166.5	143.5	838.9	255.5	126.0	139.4	170.2	135.4	125.9	200.6	archea_PKS
archae_MCG3227575.1:714-1171	242.0	146.9	197.7	145.6	131.0	345.5	421.3	319.7	369.5	180.3	240.1	261.2	285.7	194.3	252.4	217.8	194.6	203.7	166.0	293.5	158.6	141.8	838.1	246.7	129.6	141.4	169.9	131.5	122.0	207.0	archea_PKS
archae_NPD89999.1:714-1171	243.6	147.2	198.6	145.7	133.4	351.7	420.3	323.5	378.2	184.3	242.9	262.5	289.1	195.7	255.9	220.6	196.5	203.4	168.4	296.1	160.5	141.9	839.8	249.9	131.9	140.6	170.0	132.5	124.0	209.3	archea_PKS
